NAME	adipose.stem.cells	B.cells	CD4..T.cells	CD8..T.cells	chondrocytes	endothelial.cells	eosinophils	erythroblasts	fibroblasts	keratinocytes	macrophages	mesenchymal.stromal.cells	monocytes	myeloid.dendritic.cells	neutrophils	NK.cells	osteoblasts	pc.adipocytes	plasmacytoid.dendritic.cells	platelets	sc.adipocytes	smooth.muscle.cells
NDN	1904.440981	81.74133548	68.7684239	77.6336801	1568.077299	107.9019652	83.3775297	143.970218	1238.392955	103.0408555	244.3147467	1752.103869	106.9111109	286.5272326	62.40624091	66.58659031	1918.518793	5027.948427	264.3602166	86.26593051	5055.131032	107.0589034
CD36	1188.056533	51.72450072	907.9109645	25.42018761	19.24841839	16.01570193	156.201447	10886.63671	28.44212075	67.56766643	3182.636714	22.63383839	4459.417154	1450.061855	85.32248186	27.56957813	258.4926347	9118.20533	2651.105743	2795.693922	11433.61575	150.6453257
GNAI1	655.2227073	17.73527751	19.76259255	26.34359474	250.4232672	462.7829627	23.29543218	32.11410902	567.8948964	3048.938319	18.14850974	582.8893017	23.5488905	90.79711168	19.05649223	32.19091973	637.2622379	644.7548495	19.38385165	36.40996936	908.6840844	517.5065786
CD200	63.35268119	2041.591933	47.19909222	67.55002125	31.42062233	88.34856983	45.05184675	34.0961831	31.04545133	79.27556536	42.50492847	88.31734518	40.85174315	37.44566532	49.70823856	34.39314966	57.93031627	47.10793335	33.4247247	42.79360889	40.61320692	46.94199542
PSG9	213.2532083	88.41390416	76.22788283	115.7700618	61.67717949	80.98374422	157.0892694	106.8831443	2745.585006	67.27228877	77.58631836	72.60747574	60.5126722	48.5707318	131.1629868	68.74340253	90.73629892	41.01251649	34.20726737	77.99595111	40.2167968	1014.383505
MXRA5	2247.99688	77.19455489	71.69871767	116.5589997	2831.779747	50.74788478	147.1865775	115.777355	6934.793155	339.0074752	52.49024603	289.8383815	67.38379082	66.62835051	152.1359654	93.84918879	1295.060737	261.2118351	46.82657865	56.12936382	545.5874969	54.17487218
PNMA2	318.1896583	26.67017962	22.36221077	21.15947007	164.4120814	323.5373963	47.64834458	19.42347743	21.78129144	22.55989542	21.12651185	623.2743945	23.19808194	15.58935533	27.23229512	20.24780633	885.5616892	48.21434505	25.82836815	18.68358301	38.47034503	1006.78929
GATA3	11.79772976	14.59885456	468.9413061	569.7816734	19.49471954	41.75918089	13.33902397	14.45411353	13.63708391	964.0196786	15.92136865	12.41240808	15.62832391	28.48288562	15.01390093	674.7601177	12.76479854	34.37378508	17.47066026	129.0660682	28.4249823	14.116819
ADH1B	1638.29976	27.36112397	27.10434278	29.05943458	124.8924653	21.00766037	49.87817794	24.63499177	2550.845765	19.75395873	22.57911303	68.00698189	24.80196696	38.42968935	43.69822577	27.66408178	22.9767489	6452.989057	20.73820979	22.47576156	6061.792392	177.5126229
BUB1	80.29917316	29.66638302	27.6548568	35.96779967	43.23864516	669.1132294	49.45912156	2813.826521	142.8518229	37.46248269	36.84734866	116.845199	20.4219476	19.04929475	26.59788563	38.6445832	18.93216685	17.1744306	100.1326549	24.13718177	17.99880396	137.0351861
